2017-02-21 19:28:26,267 [main] INFO  o.a.c.f.imps.CuratorFrameworkImpl [Line:238] - Starting
2017-02-21 19:28:26,415 [main] INFO  org.apache.zookeeper.ZooKeeper [Line:100] - Client environment:zookeeper.version=3.4.9-1757313, built on 08/23/2016 06:50 GMT
2017-02-21 19:28:26,415 [main] INFO  org.apache.zookeeper.ZooKeeper [Line:100] - Client environment:host.name=192.168.21.20
2017-02-21 19:28:26,415 [main] INFO  org.apache.zookeeper.ZooKeeper [Line:100] - Client environment:java.version=1.8.0_102
2017-02-21 19:28:26,416 [main] INFO  org.apache.zookeeper.ZooKeeper [Line:100] - Client environment:java.vendor=Oracle Corporation
2017-02-21 19:28:26,416 [main] INFO  org.apache.zookeeper.ZooKeeper [Line:100] - Client environment:java.home=/Library/Java/JavaVirtualMachines/jdk1.8.0_102.jdk/Contents/Home/jre
2017-02-21 19:28:26,416 [main] INFO  org.apache.zookeeper.ZooKeeper [Line:100] - Client environment:java.class.path=/Library/Java/JavaVirtualMachines/jdk1.8.0_102.jdk/Contents/Home/jre/lib/charsets.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_102.jdk/Contents/Home/jre/lib/deploy.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_102.jdk/Contents/Home/jre/lib/ext/cldrdata.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_102.jdk/Contents/Home/jre/lib/ext/dnsns.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_102.jdk/Contents/Home/jre/lib/ext/jaccess.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_102.jdk/Contents/Home/jre/lib/ext/jfxrt.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_102.jdk/Contents/Home/jre/lib/ext/localedata.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_102.jdk/Contents/Home/jre/lib/ext/nashorn.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_102.jdk/Contents/Home/jre/lib/ext/sunec.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_102.jdk/Contents/Home/jre/lib/ext/sunjce_provider.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_102.jdk/Contents/Home/jre/lib/ext/sunpkcs11.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_102.jdk/Contents/Home/jre/lib/ext/zipfs.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_102.jdk/Contents/Home/jre/lib/javaws.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_102.jdk/Contents/Home/jre/lib/jce.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_102.jdk/Contents/Home/jre/lib/jfr.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_102.jdk/Contents/Home/jre/lib/jfxswt.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_102.jdk/Contents/Home/jre/lib/jsse.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_102.jdk/Contents/Home/jre/lib/management-agent.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_102.jdk/Contents/Home/jre/lib/plugin.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_102.jdk/Contents/Home/jre/lib/resources.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_102.jdk/Contents/Home/jre/lib/rt.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_102.jdk/Contents/Home/lib/ant-javafx.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_102.jdk/Contents/Home/lib/dt.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_102.jdk/Contents/Home/lib/javafx-mx.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_102.jdk/Contents/Home/lib/jconsole.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_102.jdk/Contents/Home/lib/packager.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_102.jdk/Contents/Home/lib/sa-jdi.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_102.jdk/Contents/Home/lib/tools.jar:/Users/xuwenjuan/workspace/toolkit/target/classes:/Users/xuwenjuan/.m2/repository/org/apache/kafka/kafka-clients/0.10.0.0/kafka-clients-0.10.0.0.jar:/Users/xuwenjuan/.m2/repository/net/jpountz/lz4/lz4/1.3.0/lz4-1.3.0.jar:/Users/xuwenjuan/.m2/repository/org/xerial/snappy/snappy-java/1.1.2.4/snappy-java-1.1.2.4.jar:/Users/xuwenjuan/.m2/repository/org/slf4j/slf4j-api/1.7.7/slf4j-api-1.7.7.jar:/Users/xuwenjuan/.m2/repository/org/apache/hbase/hbase-client/0.98.6-hadoop2/hbase-client-0.98.6-hadoop2.jar:/Users/xuwenjuan/.m2/repository/org/apache/hbase/hbase-common/0.98.6-hadoop2/hbase-common-0.98.6-hadoop2.jar:/Users/xuwenjuan/.m2/repository/com/google/guava/guava/18.0/guava-18.0.jar:/Users/xuwenjuan/.m2/repository/commons-logging/commons-logging/1.1.1/commons-logging-1.1.1.jar:/Users/xuwenjuan/.m2/repository/commons-codec/commons-codec/1.7/commons-codec-1.7.jar:/Users/xuwenjuan/.m2/repository/commons-lang/commons-lang/2.6/commons-lang-2.6.jar:/Users/xuwenjuan/.m2/repository/commons-collections/commons-collections/3.2.1/commons-collections-3.2.1.jar:/Users/xuwenjuan/.m2/repository/commons-io/commons-io/2.4/commons-io-2.4.jar:/Users/xuwenjuan/.m2/repository/com/google/protobuf/protobuf-java/2.5.0/protobuf-java-2.5.0.jar:/Users/xuwenjuan/.m2/repository/org/apache/hadoop/hadoop-annotations/2.2.0/hadoop-annotations-2.2.0.jar:/Users/xuwenjuan/.m2/repository/org/apache/hadoop/hadoop-common/2.2.0/hadoop-common-2.2.0.jar:/Users/xuwenjuan/.m2/repository/commons-cli/commons-cli/1.2/commons-cli-1.2.jar:/Users/xuwenjuan/.m2/repository/org/apache/commons/commons-math/2.1/commons-math-2.1.jar:/Users/xuwenjuan/.m2/repository/xmlenc/xmlenc/0.52/xmlenc-0.52.jar:/Users/xuwenjuan/.m2/repository/commons-httpclient/commons-httpclient/3.1/commons-httpclient-3.1.jar:/Users/xuwenjuan/.m2/repository/commons-net/commons-net/3.1/commons-net-3.1.jar:/Users/xuwenjuan/.m2/repository/org/mortbay/jetty/jetty/6.1.26/jetty-6.1.26.jar:/Users/xuwenjuan/.m2/repository/org/mortbay/jetty/jetty-util/6.1.26/jetty-util-6.1.26.jar:/Users/xuwenjuan/.m2/repository/com/sun/jersey/jersey-core/1.8/jersey-core-1.8.jar:/Users/xuwenjuan/.m2/repository/com/sun/jersey/jersey-json/1.8/jersey-json-1.8.jar:/Users/xuwenjuan/.m2/repository/org/codehaus/jettison/jettison/1.1/jettison-1.1.jar:/Users/xuwenjuan/.m2/repository/com/sun/xml/bind/jaxb-impl/2.2.3-1/jaxb-impl-2.2.3-1.jar:/Users/xuwenjuan/.m2/repository/javax/xml/bind/jaxb-api/2.2.2/jaxb-api-2.2.2.jar:/Users/xuwenjuan/.m2/repository/javax/activation/activation/1.1/activation-1.1.jar:/Users/xuwenjuan/.m2/repository/org/codehaus/jackson/jackson-core-asl/1.8.8/jackson-core-asl-1.8.8.jar:/Users/xuwenjuan/.m2/repository/org/codehaus/jackson/jackson-mapper-asl/1.9.13/jackson-mapper-asl-1.9.13.jar:/Users/xuwenjuan/.m2/repository/org/codehaus/jackson/jackson-jaxrs/1.8.8/jackson-jaxrs-1.8.8.jar:/Users/xuwenjuan/.m2/repository/org/codehaus/jackson/jackson-xc/1.7.1/jackson-xc-1.7.1.jar:/Users/xuwenjuan/.m2/repository/com/sun/jersey/jersey-server/1.8/jersey-server-1.8.jar:/Users/xuwenjuan/.m2/repository/asm/asm/3.1/asm-3.1.jar:/Users/xuwenjuan/.m2/repository/tomcat/jasper-compiler/5.5.23/jasper-compiler-5.5.23.jar:/Users/xuwenjuan/.m2/repository/tomcat/jasper-runtime/5.5.23/jasper-runtime-5.5.23.jar:/Users/xuwenjuan/.m2/repository/commons-el/commons-el/1.0/commons-el-1.0.jar:/Users/xuwenjuan/.m2/repository/log4j/log4j/1.2.17/log4j-1.2.17.jar:/Users/xuwenjuan/.m2/repository/net/java/dev/jets3t/jets3t/0.6.1/jets3t-0.6.1.jar:/Users/xuwenjuan/.m2/repository/commons-configuration/commons-configuration/1.6/commons-configuration-1.6.jar:/Users/xuwenjuan/.m2/repository/commons-digester/commons-digester/1.8/commons-digester-1.8.jar:/Users/xuwenjuan/.m2/repository/commons-beanutils/commons-beanutils/1.7.0/commons-beanutils-1.7.0.jar:/Users/xuwenjuan/.m2/repository/commons-beanutils/commons-beanutils-core/1.8.0/commons-beanutils-core-1.8.0.jar:/Users/xuwenjuan/.m2/repository/org/apache/avro/avro/1.7.6/avro-1.7.6.jar:/Users/xuwenjuan/.m2/repository/com/thoughtworks/paranamer/paranamer/2.3/paranamer-2.3.jar:/Users/xuwenjuan/.m2/repository/org/apache/commons/commons-compress/1.4.1/commons-compress-1.4.1.jar:/Users/xuwenjuan/.m2/repository/org/tukaani/xz/1.0/xz-1.0.jar:/Users/xuwenjuan/.m2/repository/org/apache/hadoop/hadoop-auth/2.2.0/hadoop-auth-2.2.0.jar:/Users/xuwenjuan/.m2/repository/com/jcraft/jsch/0.1.42/jsch-0.1.42.jar:/Users/xuwenjuan/.m2/repository/org/apache/zookeeper/zookeeper/3.4.9/zookeeper-3.4.9.jar:/Users/xuwenjuan/.m2/repository/org/apache/hadoop/hadoop-mapreduce-client-core/2.2.0/hadoop-mapreduce-client-core-2.2.0.jar:/Users/xuwenjuan/.m2/repository/org/apache/hadoop/hadoop-yarn-common/2.2.0/hadoop-yarn-common-2.2.0.jar:/Users/xuwenjuan/.m2/repository/org/apache/hadoop/hadoop-yarn-api/2.2.0/hadoop-yarn-api-2.2.0.jar:/Users/xuwenjuan/.m2/repository/com/google/inject/extensions/guice-servlet/3.0/guice-servlet-3.0.jar:/Users/xuwenjuan/.m2/repository/com/google/inject/guice/3.0/guice-3.0.jar:/Users/xuwenjuan/.m2/repository/javax/inject/javax.inject/1/javax.inject-1.jar:/Users/xuwenjuan/.m2/repository/aopalliance/aopalliance/1.0/aopalliance-1.0.jar:/Users/xuwenjuan/.m2/repository/io/netty/netty/3.6.6.Final/netty-3.6.6.Final.jar:/Users/xuwenjuan/.m2/repository/com/sun/jersey/jersey-test-framework/jersey-test-framework-grizzly2/1.9/jersey-test-framework-grizzly2-1.9.jar:/Users/xuwenjuan/.m2/repository/com/sun/jersey/jersey-test-framework/jersey-test-framework-core/1.9/jersey-test-framework-core-1.9.jar:/Users/xuwenjuan/.m2/repository/javax/servlet/javax.servlet-api/3.0.1/javax.servlet-api-3.0.1.jar:/Users/xuwenjuan/.m2/repository/junit/junit/4.12/junit-4.12.jar:/Users/xuwenjuan/.m2/repository/com/sun/jersey/jersey-client/1.9/jersey-client-1.9.jar:/Users/xuwenjuan/.m2/repository/com/sun/jersey/jersey-grizzly2/1.9/jersey-grizzly2-1.9.jar:/Users/xuwenjuan/.m2/repository/org/glassfish/grizzly/grizzly-http/2.1.2/grizzly-http-2.1.2.jar:/Users/xuwenjuan/.m2/repository/org/glassfish/grizzly/grizzly-framework/2.1.2/grizzly-framework-2.1.2.jar:/Users/xuwenjuan/.m2/repository/org/glassfish/gmbal/gmbal-api-only/3.0.0-b023/gmbal-api-only-3.0.0-b023.jar:/Users/xuwenjuan/.m2/repository/org/glassfish/external/management-api/3.0.0-b012/management-api-3.0.0-b012.jar:/Users/xuwenjuan/.m2/repository/org/glassfish/grizzly/grizzly-http-server/2.1.2/grizzly-http-server-2.1.2.jar:/Users/xuwenjuan/.m2/repository/org/glassfish/grizzly/grizzly-rcm/2.1.2/grizzly-rcm-2.1.2.jar:/Users/xuwenjuan/.m2/repository/org/glassfish/grizzly/grizzly-http-servlet/2.1.2/grizzly-http-servlet-2.1.2.jar:/Users/xuwenjuan/.m2/repository/org/glassfish/javax.servlet/3.1/javax.servlet-3.1.jar:/Users/xuwenjuan/.m2/repository/com/sun/jersey/contribs/jersey-guice/1.9/jersey-guice-1.9.jar:/Users/xuwenjuan/.m2/repository/com/github/stephenc/findbugs/findbugs-annotations/1.3.9-1/findbugs-annotations-1.3.9-1.jar:/Users/xuwenjuan/.m2/repository/org/hamcrest/hamcrest-core/1.3/hamcrest-core-1.3.jar:/Users/xuwenjuan/.m2/repository/org/apache/hbase/hbase-protocol/0.98.6-hadoop2/hbase-protocol-0.98.6-hadoop2.jar:/Users/xuwenjuan/.m2/repository/org/cloudera/htrace/htrace-core/2.04/htrace-core-2.04.jar:/Users/xuwenjuan/.m2/repository/org/apache/hbase/hbase-server/0.98.6-hadoop2/hbase-server-0.98.6-hadoop2.jar:/Users/xuwenjuan/.m2/repository/org/apache/hbase/hbase-prefix-tree/0.98.6-hadoop2/hbase-prefix-tree-0.98.6-hadoop2.jar:/Users/xuwenjuan/.m2/repository/org/apache/hbase/hbase-common/0.98.6-hadoop2/hbase-common-0.98.6-hadoop2-tests.jar:/Users/xuwenjuan/.m2/repository/org/apache/hbase/hbase-hadoop-compat/0.98.6-hadoop2/hbase-hadoop-compat-0.98.6-hadoop2.jar:/Users/xuwenjuan/.m2/repository/org/apache/hbase/hbase-hadoop2-compat/0.98.6-hadoop2/hbase-hadoop2-compat-0.98.6-hadoop2.jar:/Users/xuwenjuan/.m2/repository/com/yammer/metrics/metrics-core/2.2.0/metrics-core-2.2.0.jar:/Users/xuwenjuan/.m2/repository/com/github/stephenc/high-scale-lib/high-scale-lib/1.1.1/high-scale-lib-1.1.1.jar:/Users/xuwenjuan/.m2/repository/org/mortbay/jetty/jetty-sslengine/6.1.26/jetty-sslengine-6.1.26.jar:/Users/xuwenjuan/.m2/repository/org/mortbay/jetty/jsp-2.1/6.1.14/jsp-2.1-6.1.14.jar:/Users/xuwenjuan/.m2/repository/org/mortbay/jetty/jsp-api-2.1/6.1.14/jsp-api-2.1-6.1.14.jar:/Users/xuwenjuan/.m2/repository/org/mortbay/jetty/servlet-api-2.5/6.1.14/servlet-api-2.5-6.1.14.jar:/Users/xuwenjuan/.m2/repository/org/jamon/jamon-runtime/2.3.1/jamon-runtime-2.3.1.jar:/Users/xuwenjuan/.m2/repository/org/apache/hadoop/hadoop-client/2.2.0/hadoop-client-2.2.0.jar:/Users/xuwenjuan/.m2/repository/org/apache/hadoop/hadoop-hdfs/2.2.0/hadoop-hdfs-2.2.0.jar:/Users/xuwenjuan/.m2/repository/org/apache/hadoop/hadoop-mapreduce-client-app/2.2.0/hadoop-mapreduce-client-app-2.2.0.jar:/Users/xuwenjuan/.m2/repository/org/apache/hadoop/hadoop-mapreduce-client-common/2.2.0/hadoop-mapreduce-client-common-2.2.0.jar:/Users/xuwenjuan/.m2/repository/org/apache/hadoop/hadoop-yarn-client/2.2.0/hadoop-yarn-client-2.2.0.jar:/Users/xuwenjuan/.m2/repository/org/apache/hadoop/hadoop-yarn-server-common/2.2.0/hadoop-yarn-server-common-2.2.0.jar:/Users/xuwenjuan/.m2/repository/org/apache/hadoop/hadoop-mapreduce-client-shuffle/2.2.0/hadoop-mapreduce-client-shuffle-2.2.0.jar:/Users/xuwenjuan/.m2/repository/org/apache/hadoop/hadoop-mapreduce-client-jobclient/2.2.0/hadoop-mapreduce-client-jobclient-2.2.0.jar:/Users/xuwenjuan/.m2/repository/commons-daemon/commons-daemon/1.0.13/commons-daemon-1.0.13.jar:/Users/xuwenjuan/.m2/repository/org/apache/commons/commons-collections4/4.0/commons-collections4-4.0.jar:/Users/xuwenjuan/.m2/repository/org/apache/httpcomponents/httpclient/4.5/httpclient-4.5.jar:/Users/xuwenjuan/.m2/repository/org/apache/httpcomponents/httpcore/4.4.1/httpcore-4.4.1.jar:/Users/xuwenjuan/.m2/repository/org/asynchttpclient/async-http-client/2.0.11/async-http-client-2.0.11.jar:/Users/xuwenjuan/.m2/repository/io/netty/netty-codec-http/4.0.39.Final/netty-codec-http-4.0.39.Final.jar:/Users/xuwenjuan/.m2/repository/io/netty/netty-codec/4.0.39.Final/netty-codec-4.0.39.Final.jar:/Users/xuwenjuan/.m2/repository/io/netty/netty-transport/4.0.39.Final/netty-transport-4.0.39.Final.jar:/Users/xuwenjuan/.m2/repository/io/netty/netty-buffer/4.0.39.Final/netty-buffer-4.0.39.Final.jar:/Users/xuwenjuan/.m2/repository/io/netty/netty-common/4.0.39.Final/netty-common-4.0.39.Final.jar:/Users/xuwenjuan/.m2/repository/io/netty/netty-handler/4.0.39.Final/netty-handler-4.0.39.Final.jar:/Users/xuwenjuan/.m2/repository/io/netty/netty-transport-native-epoll/4.0.39.Final/netty-transport-native-epoll-4.0.39.Final-linux-x86_64.jar:/Users/xuwenjuan/.m2/repository/org/asynchttpclient/netty-resolver-dns/2.0.11/netty-resolver-dns-2.0.11.jar:/Users/xuwenjuan/.m2/repository/org/asynchttpclient/netty-resolver/2.0.11/netty-resolver-2.0.11.jar:/Users/xuwenjuan/.m2/repository/org/asynchttpclient/netty-codec-dns/2.0.11/netty-codec-dns-2.0.11.jar:/Users/xuwenjuan/.m2/repository/org/reactivestreams/reactive-streams/1.0.0/reactive-streams-1.0.0.jar:/Users/xuwenjuan/.m2/repository/com/typesafe/netty/netty-reactive-streams/1.0.6/netty-reactive-streams-1.0.6.jar:/Users/xuwenjuan/.m2/repository/org/javassist/javassist/3.20.0-GA/javassist-3.20.0-GA.jar:/Users/xuwenjuan/.m2/repository/redis/clients/jedis/2.8.0/jedis-2.8.0.jar:/Users/xuwenjuan/.m2/repository/org/apache/commons/commons-pool2/2.3/commons-pool2-2.3.jar:/Users/xuwenjuan/.m2/repository/ch/qos/logback/logback-classic/1.1.2/logback-classic-1.1.2.jar:/Users/xuwenjuan/.m2/repository/ch/qos/logback/logback-core/1.1.2/logback-core-1.1.2.jar:/Users/xuwenjuan/.m2/repository/ch/qos/logback/logback-access/1.1.2/logback-access-1.1.2.jar:/Users/xuwenjuan/.m2/repository/io/netty/netty-all/4.1.4.Final/netty-all-4.1.4.Final.jar:/Users/xuwenjuan/.m2/repository/org/apache/parquet/parquet-common/1.8.1/parquet-common-1.8.1.jar:/Users/xuwenjuan/.m2/repository/org/apache/parquet/parquet-avro/1.8.1/parquet-avro-1.8.1.jar:/Users/xuwenjuan/.m2/repository/org/apache/parquet/parquet-column/1.8.1/parquet-column-1.8.1.jar:/Users/xuwenjuan/.m2/repository/org/apache/parquet/parquet-encoding/1.8.1/parquet-encoding-1.8.1.jar:/Users/xuwenjuan/.m2/repository/org/apache/parquet/parquet-hadoop/1.8.1/parquet-hadoop-1.8.1.jar:/Users/xuwenjuan/.m2/repository/org/apache/parquet/parquet-format/2.3.0-incubating/parquet-format-2.3.0-incubating.jar:/Users/xuwenjuan/.m2/repository/org/apache/parquet/parquet-jackson/1.8.1/parquet-jackson-1.8.1.jar:/Users/xuwenjuan/.m2/repository/it/unimi/dsi/fastutil/6.5.7/fastutil-6.5.7.jar:/Users/xuwenjuan/.m2/repository/org/apache/curator/curator-framework/2.7.0/curator-framework-2.7.0.jar:/Users/xuwenjuan/.m2/repository/org/apache/curator/curator-client/2.7.0/curator-client-2.7.0.jar:/Users/xuwenjuan/.m2/repository/org/apache/curator/curator-recipes/2.7.0/curator-recipes-2.7.0.jar:/Users/xuwenjuan/.m2/repository/org/slf4j/slf4j-log4j12/1.6.1/slf4j-log4j12-1.6.1.jar:/Users/xuwenjuan/.m2/repository/jline/jline/0.9.94/jline-0.9.94.jar:/Users/xuwenjuan/.m2/repository/org/apache/httpcomponents/httpmime/4.5.2/httpmime-4.5.2.jar:/Users/xuwenjuan/.m2/repository/org/mongodb/mongo-java-driver/3.3.0/mongo-java-driver-3.3.0.jar:/Users/xuwenjuan/.m2/repository/org/springframework/data/spring-data-mongodb/1.9.2.RELEASE/spring-data-mongodb-1.9.2.RELEASE.jar:/Users/xuwenjuan/.m2/repository/org/springframework/spring-tx/4.2.6.RELEASE/spring-tx-4.2.6.RELEASE.jar:/Users/xuwenjuan/.m2/repository/org/springframework/spring-beans/4.2.6.RELEASE/spring-beans-4.2.6.RELEASE.jar:/Users/xuwenjuan/.m2/repository/org/springframework/spring-core/4.2.6.RELEASE/spring-core-4.2.6.RELEASE.jar:/Users/xuwenjuan/.m2/repository/org/springframework/spring-context/4.2.6.RELEASE/spring-context-4.2.6.RELEASE.jar:/Users/xuwenjuan/.m2/repository/org/springframework/spring-aop/4.2.6.RELEASE/spring-aop-4.2.6.RELEASE.jar:/Users/xuwenjuan/.m2/repository/org/springframework/spring-expression/4.2.6.RELEASE/spring-expression-4.2.6.RELEASE.jar:/Users/xuwenjuan/.m2/repository/org/springframework/data/spring-data-commons/1.12.2.RELEASE/spring-data-commons-1.12.2.RELEASE.jar:/Users/xuwenjuan/.m2/repository/org/slf4j/jcl-over-slf4j/1.7.21/jcl-over-slf4j-1.7.21.jar:/Users/xuwenjuan/.m2/repository/org/apache/commons/commons-lang3/3.3.2/commons-lang3-3.3.2.jar:/Users/xuwenjuan/.m2/repository/com/fasterxml/jackson/core/jackson-core/2.8.4/jackson-core-2.8.4.jar:/Users/xuwenjuan/.m2/repository/com/fasterxml/jackson/core/jackson-annotations/2.4.4/jackson-annotations-2.4.4.jar:/Users/xuwenjuan/.m2/repository/com/fasterxml/jackson/core/jackson-databind/2.4.4/jackson-databind-2.4.4.jar:/Users/xuwenjuan/.m2/repository/com/github/pmerienne/trident-ml/0.0.4/trident-ml-0.0.4.jar:/Users/xuwenjuan/.m2/repository/org/jblas/jblas/1.2.3/jblas-1.2.3.jar:/Users/xuwenjuan/.m2/repository/org/apache/lucene/lucene-analyzers/3.6.2/lucene-analyzers-3.6.2.jar:/Users/xuwenjuan/.m2/repository/org/apache/lucene/lucene-core/3.6.2/lucene-core-3.6.2.jar:/Applications/IntelliJ IDEA.app/Contents/lib/idea_rt.jar
2017-02-21 19:28:26,417 [main] INFO  org.apache.zookeeper.ZooKeeper [Line:100] - Client environment:java.library.path=/Users/xuwenjuan/Library/Java/Extensions:/Library/Java/Extensions:/Network/Library/Java/Extensions:/System/Library/Java/Extensions:/usr/lib/java:.
2017-02-21 19:28:26,417 [main] INFO  org.apache.zookeeper.ZooKeeper [Line:100] - Client environment:java.io.tmpdir=/var/folders/kk/vfflw8_91y16c01j_r0jmvkc0000gn/T/
2017-02-21 19:28:26,417 [main] INFO  org.apache.zookeeper.ZooKeeper [Line:100] - Client environment:java.compiler=<NA>
2017-02-21 19:28:26,417 [main] INFO  org.apache.zookeeper.ZooKeeper [Line:100] - Client environment:os.name=Mac OS X
